GEO,Population,Deaths,Divorces,Divorces_per_100_marriages,Crude_divorce_rate,Income_ratio,Live_births,Crude_marriage_rate,Marriages,Unemp_K,Unemp_perc_total_pop,Unemp_perc_l_force,Life_expectancy,eurostat,geo
Albania,2870324,21804,4846,21,1.7,6.98,28934,8.1,23104,NA,NA,NA,78.9,AL,AL
Andorra,NA,335,NA,NA,NA,NA,543,3.9,293,NA,NA,NA,NA,AD,AD
Armenia,2972732,25751,3820,25.8,1.3,NA,36574,5,14822,NA,NA,NA,76.7,AM,AM
Austria,8822267,83975,16304,35.1,1.8,4.04,85535,5.3,46468,237,3.6,5.2,81.8,AT,AT
Azerbaijan,9898085,57250,14857,23.8,1.5,NA,138982,6.3,62484,NA,NA,NA,76,AZ,AZ
Belarus,9491823,120053,33152,54.6,3.5,NA,94042,6.4,60714,NA,NA,NA,74.5,BY,BY
Belgium,11398589,110693,23135,51.3,2,3.79,118319,3.9,45059,301,3.6,6,81.7,BE,BE
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,7050034,108526,10596,36.6,1.5,7.66,62197,4.1,28961,174,3.2,5.3,75,BG,BG
Croatia,4105493,52706,6125,30.7,1.5,5,36945,4.9,19921,152,4.9,8.5,78.2,HR,HR
Cyprus,864236,5768,2114,31.2,2.4,4.29,9329,7.8,6777,37,5.7,8.4,82.9,CY,CY
Czechia,10610055,112920,24313,44.6,2.3,3.32,114036,5.1,54470,121,1.5,2.2,79.1,CZ,CZ
Denmark,5781190,55232,15034,46.2,2.6,4.11,61476,5.6,32525,153,3.5,5.1,81,DK,DK
Estonia,1319133,15751,3199,48.7,2.4,5.07,14367,5,6573,38,3.9,5.4,78.5,EE,EE
Finland,5513130,54527,13145,55.2,2.4,3.65,47577,4.3,23799,202,4.9,7.4,81.8,FI,FI
France,67026224,609747,NA,NA,NA,4.23,759199,3.5,234843,2701,5.7,9,82.8,FR,FR
Georgia,3729633,46524,10288,44.3,2.8,NA,51138,6.2,23202,NA,NA,NA,74,GE,GE
Germany,82792351,954874,148066,32.9,1.8,5.07,787523,5.4,449466,1468,2.4,3.4,81,DE,DE
Greece,10741165,120296,NA,NA,NA,5.51,86440,4.4,47428,935,11.7,19.7,81.9,EL,EL
Hungary,9778371,131247,16952,33.4,1.7,4.35,93467,5.2,50828,172,2.3,3.6,76.2,HU,HU
Iceland,348450,2254,NA,NA,NA,3.21,4228,NA,NA,6,2.2,2.7,82.9,IS,IS
Ireland,4830392,31140,NA,NA,NA,4.23,61022,4.3,21053,137,3.9,5.8,82.2,IE,IE
Italy,60483973,633133,88458,45.2,1.5,6.09,439747,3.2,195778,2755,6.1,10.6,83.4,IT,IT
Kosovo (under United Nations Security Council Resolution 1244/99),1798506,8998,999,5.9,0.6,15.58,22761,9.4,16871,NA,NA,NA,NA,NA,NA
Latvia,1934379,28820,5967,45.7,3.1,6.78,19314,6.8,13058,73,5.2,7.4,75.1,LV,LV
Liechtenstein,38114,274,NA,NA,NA,NA,378,NA,NA,NA,NA,NA,83.1,LI,LI
Lithuania,2808901,39574,8640,43.8,3.1,7.09,28149,7,19734,90,4.3,6.2,76,LT,LT
Luxembourg,602005,4318,1230,64.8,2,5.18,6274,3.1,1898,17,3.6,5.6,82.3,LU,LU
Malta,475701,3688,349,12.3,0.7,4.28,4444,5.8,2831,9,2.4,3.7,82.5,MT,MT
Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MD,MD
Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,MC
Montenegro,622359,6504,849,25.6,1.4,7.37,7264,5.3,3321,42,9.1,15.2,76.9,ME,ME
Netherlands,17181084,153363,30729,47.8,1.8,4.05,168525,3.7,64315,350,2.7,3.8,81.9,NL,NL
North Macedonia,2075301,19727,1620,12,0.8,6.16,21333,6.5,13494,199,12.2,20.8,76.7,MK,MK
Norway,5295619,40840,10162,45,1.9,3.71,55120,4.3,22578,106,2.7,3.8,82.8,NO,NO
Poland,37976687,414200,62843,32.7,1.7,4.25,388178,5.1,192443,659,2.4,3.9,77.7,PL,PL
Portugal,10291027,113051,20345,58.7,2,5.22,87020,3.4,34637,366,4.7,7.2,81.5,PT,PT
Romania,19533481,263911,30857,21.5,1.6,7.21,202744,7.4,143292,380,2.5,4.2,75.3,RO,RO
Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RU,RU
San Marino,34453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SM,SM
Serbia,7001444,101655,9995,27.5,1.4,8.58,63975,5.2,36321,412,7.7,12.8,75.9,RS,RS
Slovakia,5443120,54293,9560,30.7,1.8,3.03,57639,5.7,31177,180,4.2,6.5,77.4,SK,SK
Slovenia,2066880,20485,2347,32.3,1.1,3.38,19585,3.5,7256,53,3.4,5.1,81.5,SI,SI
Spain,46658447,425153,95254,57.5,2,6.03,370827,3.5,165527,3479,9.9,15.3,83.5,ES,ES
Sweden,10120242,92185,24958,49.1,2.5,4.13,115832,5,50796,346,4.6,6.4,82.6,SE,SE
Switzerland,8484130,67088,16542,40.6,1.9,4.5,87851,4.8,40716,231,3.6,4.7,83.8,CH,CH
Ukraine,42216766,587665,153949,67.4,3.7,NA,335874,5.4,228411,NA,NA,NA,73.2,UA,UA
United Kingdom,66273576,614313,NA,NA,NA,5.63,730918,NA,NA,NA,NA,NA,81.3,UK,UK
